0	-94.715836	0.000009	50.314465
1	-94.641602	0.000010	50.314465
2	-97.298553	0.000006	0.000000
3	-93.776810	0.000012	251.572327
4	-93.837547	0.000011	0.000000
5	-96.015404	0.000008	100.628929
6	-92.807724	0.000011	0.000000
7	-91.558350	0.000017	100.628929
8	-94.715836	0.000010	50.314465
9	-93.005157	0.000013	150.943390
10	-94.220993	0.000011	0.000000
11	-94.868233	0.000009	0.000000
12	-94.715836	0.000009	0.000000
13	-96.909386	0.000007	0.000000
14	-94.496826	0.000010	50.314465
15	-95.537689	0.000008	0.000000
16	-96.668053	0.000007	0.000000
17	-94.288322	0.000010	100.628929
18	-95.107353	0.000010	50.314465
19	-96.552238	0.000007	100.628929
20	-93.776810	0.000012	100.628929
21	-96.117592	0.000007	150.943390
22	-94.288322	0.000011	100.628929
23	-95.629120	0.000008	50.314465
24	-95.190079	0.000010	0.000000
25	-95.722519	0.000008	0.000000
26	-96.015404	0.000008	50.314465
27	-94.496826	0.000010	0.000000
28	-95.817970	0.000007	0.000000
29	-94.641602	0.000010	50.314465
30	-95.448143	0.000009	0.000000
31	-93.961639	0.000012	0.000000
32	-95.190079	0.000009	150.943390
33	-95.026176	0.000010	150.943390
34	-93.716904	0.000011	0.000000
35	-95.537689	0.000009	100.628929
36	-93.899155	0.000011	50.314465
37	-95.915565	0.000008	50.314465
38	-96.117592	0.000006	150.943390
39	-95.026176	0.000009	100.628929
40	-94.356720	0.000010	50.314465
41	-95.107353	0.000009	50.314465
42	-94.426208	0.000011	100.628929
43	-96.668053	0.000007	150.943390
44	-95.274406	0.000009	50.314465
45	-94.641602	0.000010	100.628929
46	-95.629120	0.000008	0.000000
47	-96.117592	0.000008	50.314465
48	-94.715836	0.000010	50.314465
49	-96.015404	0.000007	50.314465
50	-95.915565	0.000008	50.314465
51	-94.946487	0.000009	50.314465
52	-97.436432	0.000006	100.628929
53	-96.117592	0.000008	0.000000
54	-95.817970	0.000009	100.628929
55	-96.909386	0.000007	0.000000
56	-95.107353	0.000009	100.628929
57	-95.629120	0.000009	0.000000
58	-95.817970	0.000008	50.314465
59	-95.360405	0.000009	0.000000
60	-97.298553	0.000006	0.000000
61	-95.722519	0.000008	0.000000
62	-96.117592	0.000008	50.314465
63	-95.274406	0.000009	50.314465
64	-97.436432	0.000006	50.314465
65	-96.909386	0.000006	0.000000
66	-99.339668	0.000004	0.000000
67	-95.915565	0.000008	0.000000
